School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,36,0,2,38
Alford ES,2,0,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,34,1,1,36
Archer HS,118,6,7,131
Baggett ES,5,0,0,5
Baldwin ES,0,0,0,0
Bay Creek MS,8,0,1,9
Beaver Ridge ES,1,0,0,1
Benefield ES,8,1,0,9
Berkeley Lake ES,7,3,0,10
Berkmar HS,7,1,2,10
Berkmar MS,0,0,0,0
Bethesda ES,3,0,1,4
Britt ES,1,2,0,3
Brookwood ES,6,0,0,6
Brookwood HS,42,3,0,45
Buice Center,12,0,0,12
Burnette ES,1,0,0,1
Camp Creek ES,22,1,0,23
Cedar Hill ES,4,2,1,7
Centerville ES,6,0,0,6
Central Gwinnett HS,5,0,0,5
Chattahoochee ES,13,1,0,14
Chesney ES,2,0,1,3
Coleman MS,0,0,0,0
Collins Hill HS,5,4,0,9
Cooper ES,21,0,0,21
Corley ES,0,0,0,0
Couch MS,4,2,0,6
Craig ES,21,3,1,25
Creekland MS,3,0,1,4
Crews MS,2,0,0,2
Dacula ES,3,0,1,4
Dacula HS,3,3,4,10
Dacula MS,25,0,0,25
Discovery HS,2,2,0,4
Duluth HS,70,7,4,81
Duluth MS,1,0,0,1
Duncan Creek ES,10,0,0,10
Dyer ES,14,1,1,16
Ferguson ES,15,2,1,18
Five Forks MS,3,1,3,7
Fort Daniel ES,22,1,0,23
Freeman's Mill ES,3,0,0,3
GIVE East,13,0,1,14
GIVE West,3,0,0,3
Grace Snell MS,0,0,0,0
Graves ES,5,2,0,7
Grayson ES,5,0,0,5
Grayson HS,19,4,1,24
Gwin Oaks ES,5,0,0,5
Gwinnett Online Campus,1,0,0,1
"Gwinnett School of Mathematics, Science, and Technology",2,0,0,2
Harbins ES,22,1,3,26
Harmony ES,0,0,0,0
Harris ES,4,0,0,4
Head ES,8,1,0,9
Hopkins ES,5,0,0,5
Hull MS,2,2,0,4
International Transition Center,0,1,0,1
Ivy Creek ES,11,1,1,13
Jackson ES,2,0,0,2
Jenkins ES,19,1,0,20
Jones MS,6,0,0,6
Jordan MS,1,0,0,1
Kanoheda ES,2,0,0,2
Knight ES,11,1,2,14
Lanier HS,35,6,3,44
Lanier MS,17,2,2,21
Lawrenceville ES,2,0,0,2
Level Creek ES,11,0,0,11
Lilburn ES,0,0,0,0
Lilburn MS,1,0,1,2
Lovin ES,1,0,0,1
Magill ES,23,0,0,23
Mason ES,2,0,1,3
Maxwell HS of Technology,0,1,0,1
McClure Health Science HS,6,0,3,9
McConnell MS,6,0,0,6
McKendree ES,28,2,0,30
Meadowcreek ES,0,0,0,0
Meadowcreek HS,8,0,3,11
Mill Creek HS,116,7,0,123
Minor ES,5,0,1,6
Moore MS,0,1,0,1
Mountain Park ES,5,0,0,5
Mountain View HS,51,2,4,57
Mulberry ES,4,0,0,4
Nesbit ES,1,0,0,1
Norcross ES,16,1,0,17
Norcross HS,11,1,0,12
North Gwinnett HS,13,3,4,20
North Gwinnett MS,24,0,3,27
Northbrook MS,0,1,1,2
Norton ES,8,0,0,8
Oakland Meadow School,2,0,0,2
Osborne MS,21,1,0,22
Parkview HS,28,2,0,30
Parsons ES,3,0,0,3
Partee ES,2,1,0,3
Patrick ES,3,0,1,4
Paul Duke STEM HS,1,0,1,2
Peachtree ES,12,1,1,14
Peachtree Ridge HS,1,1,0,2
Pharr ES,0,0,0,0
Phoenix HS,1,0,0,1
Pinckneyville MS,1,1,0,2
Puckett's Mill ES,19,3,1,23
Radloff MS,5,0,2,7
Richards MS,14,1,0,15
Riverside ES,12,0,0,12
Roberts ES,2,1,0,3
Rock Springs ES,0,0,0,0
Rockbridge ES,1,0,0,1
Rosebud ES,0,0,0,0
Shiloh ES,0,0,0,0
Shiloh HS,2,3,0,5
Shiloh MS,24,2,0,26
Simonton ES,3,0,0,3
Simpson ES,25,4,0,29
Snellville MS,4,0,0,4
South Gwinnett HS,5,1,2,8
Starling ES,8,0,0,8
Stripling ES,0,1,0,1
Sugar Hill ES,15,0,0,15
Summerour MS,1,2,0,3
Suwanee ES,5,0,1,6
Sweetwater MS,1,0,0,1
Sycamore ES,17,0,0,17
Taylor ES,5,2,0,7
Trickum MS,4,0,0,4
Trip ES,1,0,0,1
Twin Rivers MS,0,0,0,0
Walnut Grove ES,2,1,0,3
White Oak ES,17,0,3,20
Winn Holt ES,21,1,3,25
Woodward Mill ES,4,0,0,4
