School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,8,1,0,9
Alford ES,3,0,0,3
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,35,2,3,40
Archer HS,53,7,3,63
Baggett ES,15,1,1,17
Baldwin ES,2,0,0,2
Bay Creek MS,3,0,1,4
Beaver Ridge ES,3,1,0,4
Benefield ES,11,1,3,15
Berkeley Lake ES,1,0,0,1
Berkmar HS,1,0,0,1
Berkmar MS,12,0,3,15
Bethesda ES,11,0,1,12
Britt ES,1,0,0,1
Brookwood ES,3,0,0,3
Brookwood HS,5,1,1,7
Buice Center,11,11,0,22
Burnette ES,6,1,5,12
Camp Creek ES,9,1,0,10
Cedar Hill ES,96,4,10,110
Centerville ES,5,0,1,6
Central Gwinnett HS,1,0,0,1
Chattahoochee ES,0,0,0,0
Chesney ES,0,0,0,0
Coleman MS,1,0,0,1
Collins Hill HS,6,4,0,10
Cooper ES,13,1,3,17
Corley ES,1,0,0,1
Couch MS,0,1,0,1
Craig ES,9,2,0,11
Creekland MS,7,2,0,9
Crews MS,22,4,0,26
Dacula ES,7,0,6,13
Dacula HS,8,1,0,9
Dacula MS,3,0,0,3
Discovery HS,10,4,1,15
Duluth HS,8,1,3,12
Duluth MS,22,0,9,31
Duncan Creek ES,7,1,0,8
Dyer ES,2,0,0,2
Ferguson ES,15,0,2,17
Five Forks MS,1,1,0,2
Fort Daniel ES,2,1,0,3
Freeman's Mill ES,2,0,0,2
GIVE East,1,0,1,2
GIVE West,1,0,1,2
Grace Snell MS,2,0,0,2
Graves ES,15,0,5,20
Grayson ES,27,2,4,33
Grayson HS,4,1,0,5
Gwin Oaks ES,18,4,0,22
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",2,3,0,5
Harbins ES,1,1,0,2
Harmony ES,7,1,0,8
Harris ES,16,0,3,19
Head ES,0,0,0,0
Hopkins ES,26,0,12,38
Hull MS,1,0,1,2
International Transition Center,0,1,0,1
Ivy Creek ES,30,1,0,31
Jackson ES,8,1,0,9
Jenkins ES,7,2,0,9
Jones MS,0,0,0,0
Jordan MS,2,0,1,3
Kanoheda ES,1,0,0,1
Knight ES,8,0,4,12
Lanier HS,3,0,0,3
Lanier MS,2,0,1,3
Lawrenceville ES,5,1,0,6
Level Creek ES,2,1,0,3
Lilburn ES,0,0,0,0
Lilburn MS,1,0,1,2
Lovin ES,8,0,0,8
Magill ES,38,1,1,40
Mason ES,4,0,0,4
Maxwell,1,0,0,1
McClure Health Science HS,1,2,2,5
McConnell MS,21,6,1,28
McKendree ES,2,1,0,3
Meadowcreek ES,0,2,2,4
Meadowcreek HS,15,0,8,23
Mill Creek HS,48,6,0,54
Minor ES,7,2,0,9
Moore MS,7,1,0,8
Mountain Park ES,1,1,0,2
Mountain View HS,19,0,2,21
Mulberry ES,12,0,2,14
Nesbit ES,3,0,1,4
Norcross ES,0,0,0,0
Norcross HS,13,3,1,17
North Gwinnett HS,0,1,0,1
North Gwinnett MS,17,1,0,18
Northbrook MS,14,2,0,16
Norton ES,2,0,0,2
Oakland Meadow School,0,0,0,0
Osborne MS,5,0,0,5
Parkview HS,27,9,10,46
Parsons ES,1,1,0,2
Partee ES,15,3,0,18
Patrick ES,7,0,0,7
Paul Duke STEM HS,3,1,0,4
Peachtree ES,10,0,2,12
Peachtree Ridge HS,5,5,2,12
Pharr ES,4,0,2,6
Phoenix HS,1,0,0,1
Pinckneyville MS,2,1,3,6
Puckett's Mill ES,1,0,2,3
Radloff MS,0,0,0,0
Richards MS,20,3,5,28
Riverside ES,11,0,1,12
Roberts ES,7,1,0,8
Rock Springs ES,1,0,0,1
Rockbridge ES,20,0,4,24
Rosebud ES,3,0,1,4
Shiloh ES,0,0,0,0
Shiloh HS,1,0,0,1
Shiloh MS,10,0,1,11
Simonton ES,3,2,3,8
Simpson ES,21,3,0,24
Snellville MS,0,0,0,0
South Gwinnett HS,1,0,1,2
Starling ES,3,0,1,4
Stripling ES,2,1,1,4
Sugar Hill ES,9,2,1,12
Summerour MS,0,0,0,0
Suwanee ES,0,1,0,1
Sweetwater MS,2,0,0,2
Sycamore ES,3,0,1,4
Taylor ES,7,4,0,11
Trickum MS,4,1,0,5
Trip ES,20,3,0,23
Twin Rivers MS,4,1,2,7
Walnut Grove ES,35,2,0,37
White Oak ES,4,0,2,6
Winn Holt ES,10,1,2,13
Woodward Mill ES,0,0,2,2
