School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,1,0,0,1
Arcado ES,8,1,0,9
Archer HS,13,0,0,13
Bay Creek MS,1,0,0,1
Benefield ES,2,0,0,2
Brookwood HS,1,0,0,1
Buice Center,1,2,0,3
Burnette ES,1,0,0,1
Camp Creek ES,1,0,0,1
Cedar Hill ES,48,3,3,54
Central Gwinnett HS,1,0,0,1
Creekland MS,2,2,0,4
Crews MS,3,0,0,3
Dacula HS,1,0,0,1
Discovery HS,3,3,0,6
Duluth HS,1,0,2,3
Duluth MS,0,0,1,1
Fort Daniel ES,0,1,0,1
GIVE East,0,0,1,1
Graves ES,2,0,1,3
Grayson ES,25,2,4,31
Grayson HS,1,1,0,2
Gwin Oaks ES,4,0,0,4
Harmony ES,7,1,0,8
Harris ES,16,0,2,18
Hopkins ES,2,0,1,3
Ivy Creek ES,1,0,0,1
Jackson ES,0,1,0,1
Jordan MS,0,0,1,1
Lovin ES,1,0,0,1
Magill ES,3,0,0,3
McClure Health Science HS,1,2,0,3
McConnell MS,1,0,0,1
Meadowcreek HS,6,0,0,6
Minor ES,1,2,0,3
Moore MS,1,0,0,1
Mulberry ES,1,0,0,1
Parkview HS,8,2,2,12
Peachtree Ridge HS,3,0,0,3
Pharr ES,4,0,1,5
Pinckneyville MS,0,0,1,1
Puckett's Mill ES,1,0,2,3
Roberts ES,1,0,0,1
Rock Springs ES,1,0,0,1
Rockbridge ES,3,0,1,4
Simonton ES,0,0,2,2
Simpson ES,12,1,0,13
Sugar Hill ES,6,1,0,7
Sweetwater MS,1,0,0,1
Taylor ES,1,0,0,1
Trickum MS,1,0,0,1
Woodward Mill ES,0,0,1,1
