School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,14,1,1,16
Alford ES,4,1,1,6
Anderson-Livsey ES,1,1,0,2
Annistown ES,24,2,0,26
Arcado ES,4,1,1,6
Archer HS,70,3,12,85
Baggett ES,45,3,7,55
Baldwin ES,7,2,0,9
Bay Creek MS,12,1,1,14
Beaver Ridge ES,13,2,0,15
Benefield ES,20,1,0,21
Berkeley Lake ES,4,2,1,7
Berkmar HS,20,6,3,29
Berkmar MS,33,0,6,39
Bethesda ES,47,0,3,50
Britt ES,10,0,3,13
Brookwood ES,14,0,0,14
Brookwood HS,90,15,5,110
Buice Center,2,0,1,3
Burnette ES,11,0,10,21
Camp Creek ES,79,2,4,85
Cedar Hill ES,19,0,3,22
Centerville ES,4,1,2,7
Central Gwinnett HS,2,6,0,8
Chattahoochee ES,78,4,7,89
Chesney ES,105,6,0,111
Coleman MS,3,0,0,3
Collins Hill HS,3,0,0,3
Cooper ES,48,3,5,56
Corley ES,19,1,0,20
Couch MS,6,2,0,8
Craig ES,27,6,2,35
Creekland MS,11,4,1,16
Crews MS,23,1,0,24
Dacula ES,39,1,8,48
Dacula HS,13,5,6,24
Dacula MS,90,8,2,100
Discovery HS,17,4,1,22
Duluth HS,18,3,3,24
Duluth MS,29,4,9,42
Duncan Creek ES,39,3,0,42
Dyer ES,42,4,6,52
Ferguson ES,42,1,2,45
Five Forks MS,26,4,0,30
Fort Daniel ES,4,0,0,4
Freeman's Mill ES,9,0,2,11
GIVE East,0,0,0,0
GIVE West,3,0,3,6
Grace Snell MS,5,0,5,10
Graves ES,7,1,0,8
Grayson ES,8,0,0,8
Grayson HS,22,7,0,29
Gwin Oaks ES,4,0,1,5
Gwinnett Online Campus,11,6,2,19
"Gwinnett School of Mathematics, Science, and Technology",1,2,0,3
Harbins ES,31,1,4,36
Harmony ES,1,0,0,1
Harris ES,20,4,3,27
Head ES,37,4,0,41
Hopkins ES,18,2,0,20
Hull MS,6,2,1,9
International Transition Center,5,1,0,6
Ivy Creek ES,17,3,2,22
Jackson ES,22,6,0,28
Jenkins ES,7,1,0,8
Jones MS,5,0,0,5
Jordan MS,17,4,1,22
Kanoheda ES,7,0,0,7
Knight ES,34,2,8,44
Lanier HS,19,1,6,26
Lanier MS,11,0,3,14
Lawrenceville ES,0,2,0,2
Level Creek ES,10,0,1,11
Lilburn ES,4,1,0,5
Lilburn MS,4,0,1,5
Lovin ES,25,2,2,29
Magill ES,70,6,5,81
Mason ES,10,1,3,14
Maxwell,1,0,0,1
McClure Health Science HS,7,0,4,11
McConnell MS,26,3,1,30
McKendree ES,102,7,0,109
Meadowcreek ES,9,3,1,13
Meadowcreek HS,19,2,4,25
Mill Creek HS,51,4,0,55
Minor ES,7,0,1,8
Moore MS,0,0,0,0
Mountain Park ES,4,3,0,7
Mountain View HS,67,1,6,74
Mulberry ES,26,1,5,32
Nesbit ES,1,0,0,1
Norcross ES,63,4,3,70
Norcross HS,65,7,4,76
North Gwinnett HS,22,3,6,31
North Gwinnett MS,48,3,1,52
Northbrook MS,24,2,1,27
Norton ES,2,0,0,2
Oakland Meadow School,3,0,0,3
Osborne MS,82,3,0,85
Parkview HS,17,4,11,32
Parsons ES,1,2,0,3
Partee ES,25,4,3,32
Patrick ES,12,2,1,15
Paul Duke STEM HS,10,4,0,14
Peachtree ES,45,0,12,57
Peachtree Ridge HS,6,3,6,15
Pharr ES,7,1,0,8
Phoenix HS,0,0,0,0
Pinckneyville MS,100,2,10,112
Puckett's Mill ES,30,1,2,33
Radloff MS,51,3,0,54
Richards MS,31,4,5,40
Riverside ES,46,3,2,51
Roberts ES,1,0,0,1
Rock Springs ES,31,3,0,34
Rockbridge ES,24,1,5,30
Rosebud ES,5,1,2,8
Shiloh ES,15,3,0,18
Shiloh HS,6,1,3,10
Shiloh MS,30,1,4,35
Simonton ES,28,2,2,32
Simpson ES,42,3,0,45
Snellville MS,4,0,2,6
South Gwinnett HS,9,2,6,17
Starling ES,21,2,1,24
Stripling ES,2,0,2,4
Sugar Hill ES,19,2,1,22
Summerour MS,30,3,2,35
Suwanee ES,0,1,0,1
Sweetwater MS,10,3,1,14
Sycamore ES,84,4,1,89
Taylor ES,34,3,0,37
Trickum MS,8,2,0,10
Trip ES,25,1,3,29
Twin Rivers MS,119,6,4,129
Walnut Grove ES,0,0,0,0
White Oak ES,23,1,5,29
Winn Holt ES,26,0,1,27
Woodward Mill ES,3,0,0,3
