School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,1,0,2
Alford ES,20,2,0,22
Annistown ES,14,1,0,15
Arcado ES,1,0,1,2
Archer HS,12,1,3,16
Baggett ES,25,1,1,27
Baldwin ES,0,1,0,1
Bay Creek MS,1,0,0,1
Beaver Ridge ES,20,2,0,22
Berkeley Lake ES,3,1,0,4
Berkmar HS,1,0,0,1
Berkmar MS,5,0,2,7
Bethesda ES,3,0,1,4
Brookwood ES,0,1,0,1
Brookwood HS,26,3,0,29
Buice Center,6,2,0,8
Burnette ES,2,0,0,2
Camp Creek ES,37,4,1,42
Cedar Hill ES,27,1,0,28
Centerville ES,5,0,1,6
Chesney ES,4,0,3,7
Coleman MS,12,1,1,14
Cooper ES,4,0,0,4
Corley ES,2,0,0,2
Couch MS,4,1,0,5
Craig ES,14,0,0,14
Creekland MS,0,2,2,4
Crews MS,8,1,0,9
Dacula ES,3,0,2,5
Dacula HS,7,0,1,8
Dacula MS,11,2,0,13
Discovery HS,6,5,0,11
Duluth HS,7,4,1,12
Duluth MS,4,0,3,7
Duncan Creek ES,3,0,0,3
Dyer ES,3,0,0,3
Five Forks MS,1,0,0,1
GIVE East,1,0,0,1
GIVE West,1,0,2,3
Graves ES,3,0,0,3
Grayson ES,7,2,0,9
Grayson HS,6,1,0,7
Gwin Oaks ES,11,2,0,13
Gwinnett Online Campus,4,2,1,7
"Gwinnett School of Mathematics, Science, and Technology",3,0,0,3
Harbins ES,12,2,2,16
Harmony ES,9,0,2,11
Harris ES,5,1,0,6
Head ES,4,0,0,4
Hopkins ES,6,1,0,7
Hull MS,3,0,0,3
Ivy Creek ES,4,0,0,4
Jenkins ES,1,0,0,1
Jordan MS,0,0,1,1
Knight ES,4,1,1,6
Lanier HS,3,0,1,4
Lanier MS,10,4,0,14
Lawrenceville ES,0,1,0,1
Level Creek ES,3,0,0,3
Magill ES,8,1,0,9
Maxwell,0,1,0,1
McClure Health Science HS,4,2,0,6
McConnell MS,3,1,1,5
McKendree ES,55,7,0,62
Meadowcreek ES,16,2,1,19
Meadowcreek HS,1,1,0,2
Mill Creek HS,51,6,0,57
Minor ES,3,0,1,4
Moore MS,2,0,0,2
Mountain Park ES,2,0,0,2
Mountain View HS,8,1,0,9
Mulberry ES,12,2,1,15
Nesbit ES,1,0,1,2
Norcross ES,1,0,0,1
Norcross HS,8,1,1,10
North Gwinnett HS,7,2,0,9
North Gwinnett MS,13,0,0,13
Northbrook MS,0,2,0,2
Osborne MS,15,0,2,17
Parkview HS,17,4,3,24
Parsons ES,1,0,0,1
Partee ES,2,1,0,3
Paul Duke STEM HS,1,1,0,2
Peachtree ES,9,1,2,12
Peachtree Ridge HS,1,0,0,1
Pharr ES,1,0,0,1
Pinckneyville MS,22,1,1,24
Puckett's Mill ES,5,0,2,7
Richards MS,28,2,0,30
Roberts ES,1,0,1,2
Rock Springs ES,1,0,0,1
Shiloh ES,2,0,0,2
Shiloh HS,1,2,0,3
Shiloh MS,1,0,0,1
Simonton ES,1,0,0,1
Simpson ES,1,0,0,1
Snellville MS,24,1,0,25
South Gwinnett HS,2,1,0,3
Starling ES,14,2,1,17
Stripling ES,2,0,1,3
Sugar Hill ES,5,2,0,7
Sweetwater MS,0,1,1,2
Sycamore ES,4,0,1,5
Taylor ES,3,1,0,4
Trickum MS,6,1,0,7
Trip ES,10,1,0,11
Twin Rivers MS,10,2,2,14
White Oak ES,0,1,0,1
