School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,3,0,0,3
Alford ES,1,0,0,1
Annistown ES,1,0,0,1
Archer HS,31,4,2,37
Baggett ES,0,0,1,1
Baldwin ES,0,2,0,2
Bay Creek MS,1,0,1,2
Beaver Ridge ES,10,1,0,11
Benefield ES,9,2,0,11
Berkeley Lake ES,2,0,0,2
Berkmar HS,2,5,1,8
Berkmar MS,1,0,0,1
Bethesda ES,11,2,0,13
Brookwood ES,1,2,0,3
Brookwood HS,5,3,0,8
Burnette ES,1,0,0,1
Camp Creek ES,20,1,1,22
Centerville ES,4,0,1,5
Central Gwinnett HS,19,8,2,29
Chattahoochee ES,7,1,0,8
Chesney ES,2,1,0,3
Collins Hill HS,32,4,1,37
Cooper ES,3,1,0,4
Corley ES,0,1,0,1
Couch MS,2,0,1,3
Craig ES,1,0,2,3
Creekland MS,0,0,1,1
Crews MS,4,1,0,5
Dacula ES,0,0,1,1
Dacula HS,3,1,0,4
Dacula MS,3,1,1,5
Discovery HS,4,1,0,5
Duluth HS,19,0,5,24
Duluth MS,2,0,0,2
Duncan Creek ES,2,0,0,2
Dyer ES,1,0,0,1
Ferguson ES,9,0,1,10
Five Forks MS,1,0,0,1
Fort Daniel ES,2,0,0,2
Freeman's Mill ES,2,0,0,2
GIVE West,0,0,1,1
Grace Snell MS,1,0,1,2
Graves ES,0,0,1,1
Grayson ES,1,0,1,2
Grayson HS,5,1,0,6
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,4,1,1,6
Harris ES,2,0,0,2
Head ES,1,0,0,1
Hopkins ES,2,1,0,3
International Transition Center,5,0,1,6
Ivy Creek ES,3,0,0,3
Jones MS,5,0,1,6
Jordan MS,1,1,0,2
Kanoheda ES,3,0,1,4
Knight ES,8,0,4,12
Lanier HS,15,2,3,20
Lanier MS,2,1,0,3
Lilburn ES,1,0,0,1
Lilburn MS,1,0,0,1
Lovin ES,9,0,0,9
Magill ES,22,0,1,23
Mason ES,0,0,3,3
McConnell MS,9,0,0,9
McKendree ES,3,0,0,3
Meadowcreek ES,1,0,0,1
Meadowcreek HS,10,2,3,15
Mill Creek HS,27,4,2,33
Minor ES,3,0,5,8
Moore MS,2,1,0,3
Mountain Park ES,1,0,0,1
Mountain View HS,24,0,3,27
Mulberry ES,1,1,0,2
Nesbit ES,0,1,1,2
Norcross ES,17,0,1,18
Norcross HS,2,1,0,3
North Gwinnett HS,34,2,2,38
North Gwinnett MS,5,1,1,7
Northbrook MS,5,1,0,6
Norton ES,0,1,0,1
Osborne MS,6,0,0,6
Parkview HS,3,1,0,4
Paul Duke STEM HS,0,1,0,1
Peachtree ES,21,0,1,22
Peachtree Ridge HS,1,0,1,2
Pharr ES,1,1,0,2
Pinckneyville MS,1,1,1,3
Puckett's Mill ES,3,0,0,3
Richards MS,9,2,1,12
Riverside ES,2,0,0,2
Roberts ES,0,0,1,1
Rockbridge ES,4,0,0,4
Rosebud ES,37,4,1,42
Shiloh ES,2,1,0,3
Shiloh HS,1,0,0,1
Shiloh MS,2,1,0,3
Simonton ES,25,1,1,27
South Gwinnett HS,3,0,0,3
Starling ES,2,2,1,5
Stripling ES,1,0,0,1
Sugar Hill ES,1,0,0,1
Summerour MS,7,1,1,9
Sweetwater MS,3,1,1,5
Taylor ES,1,0,0,1
Trickum MS,5,2,0,7
Trip ES,2,0,0,2
Twin Rivers MS,30,1,0,31
Walnut Grove ES,1,0,0,1
White Oak ES,1,0,1,2
Winn Holt ES,2,0,0,2
Woodward Mill ES,1,0,0,1
