School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,28,1,5,34
Alford ES,3,0,0,3
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,1,1
Arcado ES,20,0,1,21
Archer HS,37,2,3,42
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,0,0,0,0
Beaver Ridge ES,0,0,0,0
Benefield ES,0,0,0,0
Berkeley Lake ES,0,0,0,0
Berkmar HS,1,0,0,1
Berkmar MS,11,1,2,14
Bethesda ES,28,0,3,31
Britt ES,16,0,0,16
Brookwood ES,18,0,2,20
Brookwood HS,68,0,6,74
Buice Center,9,1,1,11
Burnette ES,1,0,5,6
Camp Creek ES,31,1,2,34
Cedar Hill ES,0,0,3,3
Centerville ES,0,0,0,0
Central Gwinnett HS,9,0,0,9
Chattahoochee ES,19,0,2,21
Chesney ES,1,0,1,2
Coleman MS,3,0,0,3
Collins Hill HS,1,0,2,3
Cooper ES,17,0,2,19
Corley ES,0,0,1,1
Couch MS,0,0,0,0
Craig ES,1,0,0,1
Creekland MS,3,0,0,3
Crews MS,1,0,0,1
Dacula ES,12,0,6,18
Dacula HS,0,0,0,0
Dacula MS,0,0,0,0
Discovery HS,2,0,2,4
Duluth HS,3,2,1,6
Duluth MS,5,1,3,9
Duncan Creek ES,7,1,2,10
Dyer ES,14,0,7,21
Ferguson ES,1,0,0,1
Five Forks MS,1,0,0,1
Fort Daniel ES,16,0,0,16
Freeman's Mill ES,4,0,1,5
GIVE East,1,0,1,2
GIVE West,0,0,2,2
Grace Snell MS,2,0,0,2
Graves ES,0,0,0,0
Grayson ES,5,0,1,6
Grayson HS,2,2,1,5
Gwin Oaks ES,6,0,1,7
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",2,0,1,3
Harbins ES,14,0,3,17
Harmony ES,2,0,1,3
Harris ES,39,1,3,43
Head ES,0,0,1,1
Hopkins ES,6,1,4,11
Hull MS,21,0,1,22
International Transition Center,0,0,1,1
Ivy Creek ES,1,0,1,2
Jackson ES,1,2,1,4
Jenkins ES,2,0,0,2
Jones MS,17,0,3,20
Jordan MS,2,1,1,4
Kanoheda ES,1,0,1,2
Knight ES,5,0,5,10
Lanier HS,4,0,1,5
Lanier MS,3,0,0,3
Lawrenceville ES,4,1,1,6
Level Creek ES,3,1,0,4
Lilburn ES,8,0,0,8
Lilburn MS,2,0,8,10
Lovin ES,9,0,2,11
Magill ES,28,0,0,28
Mason ES,2,0,1,3
Maxwell HS of Technology,1,0,1,2
McClure Health Science HS,0,0,1,1
McConnell MS,15,3,2,20
McKendree ES,0,0,0,0
Meadowcreek ES,18,1,1,20
Meadowcreek HS,14,0,8,22
Mill Creek HS,51,1,5,57
Minor ES,17,0,1,18
Moore MS,1,0,0,1
Mountain Park ES,0,1,0,1
Mountain View HS,18,1,4,23
Mulberry ES,15,0,2,17
Nesbit ES,1,0,3,4
Norcross ES,4,0,3,7
Norcross HS,13,2,2,17
North Gwinnett HS,48,4,6,58
North Gwinnett MS,33,0,0,33
Northbrook MS,5,0,5,10
Norton ES,19,2,0,21
Oakland Meadow School,4,0,4,8
Osborne MS,8,0,3,11
Parkview HS,9,2,2,13
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,1,1
Peachtree ES,10,0,5,15
Peachtree Ridge HS,25,1,2,28
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,2,2,0,4
Puckett's Mill ES,7,1,0,8
Radloff MS,13,1,6,20
Richards MS,0,0,5,5
Riverside ES,7,0,4,11
Roberts ES,0,0,0,0
Rock Springs ES,0,0,0,0
Rockbridge ES,0,0,1,1
Rosebud ES,0,0,1,1
Shiloh ES,1,0,0,1
Shiloh HS,3,0,0,3
Shiloh MS,0,0,2,2
Simonton ES,0,0,0,0
Simpson ES,6,0,2,8
Snellville MS,0,0,0,0
South Gwinnett HS,15,1,2,18
Starling ES,1,1,4,6
Stripling ES,0,0,1,1
Sugar Hill ES,6,0,1,7
Summerour MS,2,1,5,8
Suwanee ES,4,0,0,4
Sweetwater MS,0,0,2,2
Sycamore ES,2,0,0,2
Taylor ES,3,0,2,5
Trickum MS,11,0,3,14
Trip ES,24,0,1,25
Twin Rivers MS,9,0,1,10
Walnut Grove ES,0,0,1,1
White Oak ES,21,2,0,23
Winn Holt ES,15,0,3,18
Woodward Mill ES,5,0,3,8
