School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,92,8,11,111
Alford ES,33,0,0,33
Anderson-Livsey ES,0,0,0,0
Annistown ES,1,0,0,1
Arcado ES,33,0,2,35
Archer HS,133,6,12,151
Baggett ES,27,1,1,29
Baldwin ES,1,0,0,1
Bay Creek MS,2,0,0,2
Beaver Ridge ES,2,0,0,2
Benefield ES,53,2,0,55
Berkeley Lake ES,1,1,0,2
Berkmar HS,39,1,0,40
Berkmar MS,2,0,0,2
Bethesda ES,22,0,0,22
Britt ES,3,0,0,3
Brookwood ES,42,2,0,44
Brookwood HS,15,4,0,19
Buice Center,0,0,0,0
Burnette ES,4,0,0,4
Camp Creek ES,37,0,1,38
Cedar Hill ES,27,1,0,28
Centerville ES,0,0,1,1
Central Gwinnett HS,7,1,0,8
Chattahoochee ES,4,0,0,4
Chesney ES,13,1,2,16
Coleman MS,3,0,0,3
Collins Hill HS,13,2,0,15
Cooper ES,19,0,1,20
Corley ES,2,2,0,4
Couch MS,0,0,0,0
Craig ES,1,0,0,1
Creekland MS,5,0,2,7
Crews MS,4,0,0,4
Dacula ES,2,0,4,6
Dacula HS,5,2,2,9
Dacula MS,58,0,2,60
Discovery HS,3,0,0,3
Duluth HS,12,0,2,14
Duluth MS,10,0,9,19
Duncan Creek ES,8,0,0,8
Dyer ES,16,0,7,23
Ferguson ES,35,1,0,36
Five Forks MS,40,2,0,42
Fort Daniel ES,12,1,2,15
Freeman's Mill ES,5,0,0,5
GIVE East,0,0,1,1
GIVE West,3,0,0,3
Grace Snell MS,10,1,2,13
Graves ES,44,2,6,52
Grayson ES,2,0,0,2
Grayson HS,16,3,0,19
Gwin Oaks ES,6,0,2,8
Gwinnett Online Campus,5,0,0,5
"Gwinnett School of Mathematics, Science, and Technology",0,0,2,2
Harbins ES,25,0,1,26
Harmony ES,2,0,2,4
Harris ES,31,1,0,32
Head ES,2,0,0,2
Hopkins ES,2,0,0,2
Hull MS,3,0,0,3
International Transition Center,0,0,1,1
Ivy Creek ES,5,1,4,10
Jackson ES,6,0,0,6
Jenkins ES,2,0,0,2
Jones MS,4,0,0,4
Jordan MS,0,0,1,1
Kanoheda ES,29,1,3,33
Knight ES,39,1,8,48
Lanier HS,35,2,2,39
Lanier MS,22,3,1,26
Lawrenceville ES,0,1,0,1
Level Creek ES,5,1,0,6
Lilburn ES,30,0,3,33
Lilburn MS,1,0,0,1
Lovin ES,41,2,2,45
Magill ES,5,0,1,6
Mason ES,1,0,0,1
Maxwell HS of Technology,15,2,2,19
McClure Health Science HS,0,0,0,0
McConnell MS,8,0,0,8
McKendree ES,34,1,0,35
Meadowcreek ES,4,0,0,4
Meadowcreek HS,17,0,6,23
Mill Creek HS,72,1,0,73
Minor ES,27,1,2,30
Moore MS,0,0,0,0
Mountain Park ES,1,0,0,1
Mountain View HS,82,3,3,88
Mulberry ES,7,0,2,9
Nesbit ES,7,2,0,9
Norcross ES,3,0,0,3
Norcross HS,20,2,1,23
North Gwinnett HS,68,4,4,76
North Gwinnett MS,44,0,0,44
Northbrook MS,12,3,1,16
Norton ES,12,1,0,13
Oakland Meadow School,2,0,0,2
Osborne MS,24,0,1,25
Parkview HS,22,3,5,30
Parsons ES,3,0,0,3
Partee ES,0,0,0,0
Patrick ES,1,1,0,2
Paul Duke STEM HS,3,1,1,5
Peachtree ES,20,0,5,25
Peachtree Ridge HS,10,1,2,13
Pharr ES,2,0,0,2
Phoenix HS,1,0,0,1
Pinckneyville MS,17,1,3,21
Puckett's Mill ES,20,0,1,21
Radloff MS,10,1,0,11
Richards MS,21,3,1,25
Riverside ES,29,1,0,30
Roberts ES,10,2,1,13
Rock Springs ES,0,0,0,0
Rockbridge ES,0,1,1,2
Rosebud ES,7,2,0,9
Shiloh ES,2,1,0,3
Shiloh HS,4,1,0,5
Shiloh MS,55,1,3,59
Simonton ES,1,0,1,2
Simpson ES,5,1,0,6
Snellville MS,1,0,0,1
South Gwinnett HS,8,1,2,11
Starling ES,2,1,0,3
Stripling ES,3,0,1,4
Sugar Hill ES,23,1,4,28
Summerour MS,1,0,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,6,0,1,7
Sycamore ES,8,0,0,8
Taylor ES,15,0,0,15
Trickum MS,16,1,0,17
Trip ES,26,0,0,26
Twin Rivers MS,88,4,0,92
Walnut Grove ES,11,1,1,13
White Oak ES,79,0,3,82
Winn Holt ES,5,0,0,5
Woodward Mill ES,3,0,0,3
