School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,12,1,4,17
Alford ES,39,3,0,42
Anderson-Livsey ES,1,2,0,3
Annistown ES,50,4,0,54
Arcado ES,5,0,1,6
Archer HS,71,14,9,94
Baggett ES,27,1,2,30
Baldwin ES,1,6,0,7
Bay Creek MS,15,4,2,21
Beaver Ridge ES,48,4,2,54
Benefield ES,34,2,1,37
Berkeley Lake ES,10,2,0,12
Berkmar HS,17,6,7,30
Berkmar MS,30,4,11,45
Bethesda ES,13,3,1,17
Britt ES,10,0,4,14
Brookwood ES,36,3,2,41
Brookwood HS,61,8,1,70
Buice Center,6,1,2,9
Burnette ES,3,1,2,6
Camp Creek ES,68,4,3,75
Cedar Hill ES,14,3,0,17
Centerville ES,11,0,3,14
Central Gwinnett HS,14,5,2,21
Chattahoochee ES,45,7,6,58
Chesney ES,9,1,3,13
Coleman MS,19,2,1,22
Collins Hill HS,33,6,4,43
Cooper ES,18,0,0,18
Corley ES,4,1,3,8
Couch MS,10,4,1,15
Craig ES,24,2,3,29
Creekland MS,20,5,13,38
Crews MS,20,1,0,21
Dacula ES,22,1,7,30
Dacula HS,13,1,3,17
Dacula MS,35,5,2,42
Discovery HS,12,5,3,20
Duluth HS,60,2,12,74
Duluth MS,19,0,5,24
Duncan Creek ES,13,1,0,14
Dyer ES,23,1,2,26
Ferguson ES,21,2,1,24
Five Forks MS,22,0,0,22
Fort Daniel ES,2,1,0,3
Freeman's Mill ES,10,1,0,11
GIVE East,0,1,1,2
GIVE West,8,1,5,14
Grace Snell MS,3,1,1,5
Graves ES,4,3,2,9
Grayson ES,8,1,2,11
Grayson HS,33,5,2,40
Gwin Oaks ES,11,4,0,15
Gwinnett Online Campus,4,0,1,5
"Gwinnett School of Mathematics, Science, and Technology",3,0,1,4
Harbins ES,62,9,8,79
Harmony ES,4,0,2,6
Harris ES,11,1,0,12
Head ES,10,1,0,11
Hopkins ES,36,7,0,43
Hull MS,16,5,1,22
International Transition Center,13,1,2,16
Ivy Creek ES,24,2,2,28
Jackson ES,22,4,2,28
Jenkins ES,7,4,3,14
Jones MS,7,0,1,8
Jordan MS,3,3,3,9
Kanoheda ES,19,4,1,24
Knight ES,23,2,5,30
Lanier HS,48,2,4,54
Lanier MS,34,5,1,40
Lawrenceville ES,2,3,0,5
Level Creek ES,7,1,0,8
Lilburn ES,2,0,0,2
Lilburn MS,16,3,7,26
Lovin ES,11,0,0,11
Magill ES,15,1,1,17
Mason ES,7,3,3,13
Maxwell,1,0,0,1
McClure Health Science HS,5,1,2,8
McConnell MS,15,2,2,19
McKendree ES,82,11,2,95
Meadowcreek ES,18,3,3,24
Meadowcreek HS,16,2,5,23
Mill Creek HS,131,11,2,144
Minor ES,17,4,6,27
Moore MS,6,1,2,9
Mountain Park ES,19,1,1,21
Mountain View HS,72,4,7,83
Mulberry ES,33,4,3,40
Nesbit ES,6,2,2,10
Norcross ES,45,3,3,51
Norcross HS,18,1,3,22
North Gwinnett HS,53,8,10,71
North Gwinnett MS,28,3,4,35
Northbrook MS,27,3,1,31
Norton ES,34,5,0,39
Oakland Meadow School,0,0,0,0
Osborne MS,53,7,2,62
Parkview HS,39,7,13,59
Parsons ES,5,1,6,12
Partee ES,3,0,0,3
Patrick ES,4,1,0,5
Paul Duke STEM HS,0,4,0,4
Peachtree ES,43,1,7,51
Peachtree Ridge HS,12,5,2,19
Pharr ES,13,1,0,14
Phoenix HS,2,1,0,3
Pinckneyville MS,44,3,4,51
Puckett's Mill ES,19,5,4,28
Radloff MS,2,1,0,3
Richards MS,58,9,8,75
Riverside ES,6,1,1,8
Roberts ES,8,2,2,12
Rock Springs ES,23,5,0,28
Rockbridge ES,35,0,4,39
Rosebud ES,40,5,5,50
Shiloh ES,6,1,0,7
Shiloh HS,7,3,0,10
Shiloh MS,6,2,1,9
Simonton ES,36,3,1,40
Simpson ES,1,0,0,1
Snellville MS,24,3,0,27
South Gwinnett HS,27,2,3,32
Starling ES,42,3,3,48
Stripling ES,8,3,2,13
Sugar Hill ES,12,3,0,15
Summerour MS,9,1,4,14
Suwanee ES,3,0,0,3
Sweetwater MS,10,2,4,16
Sycamore ES,40,3,4,47
Taylor ES,13,2,0,15
Trickum MS,26,3,2,31
Trip ES,49,2,2,53
Twin Rivers MS,105,5,2,112
Walnut Grove ES,24,3,0,27
White Oak ES,16,2,4,22
Winn Holt ES,24,3,3,30
Woodward Mill ES,0,1,0,1
