School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,119,7,15,141
Alford ES,37,1,0,38
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,44,1,2,47
Archer HS,239,12,19,270
Baggett ES,34,2,2,38
Baldwin ES,4,2,0,6
Bay Creek MS,8,1,0,9
Beaver Ridge ES,5,0,0,5
Benefield ES,20,2,1,23
Berkeley Lake ES,5,3,0,8
Berkmar HS,36,1,1,38
Berkmar MS,12,0,1,13
Bethesda ES,1,0,0,1
Britt ES,4,0,0,4
Brookwood ES,48,2,0,50
Brookwood HS,49,1,1,51
Buice Center,16,1,0,17
Burnette ES,4,0,1,5
Camp Creek ES,20,0,1,21
Cedar Hill ES,24,1,1,26
Centerville ES,0,0,0,0
Central Gwinnett HS,7,1,0,8
Chattahoochee ES,2,0,1,3
Chesney ES,13,1,0,14
Coleman MS,3,0,0,3
Collins Hill HS,8,1,0,9
Cooper ES,7,0,2,9
Corley ES,2,0,0,2
Couch MS,2,0,0,2
Craig ES,9,1,0,10
Creekland MS,5,1,3,9
Crews MS,8,0,0,8
Dacula ES,4,1,7,12
Dacula HS,2,1,1,4
Dacula MS,45,0,1,46
Discovery HS,3,1,0,4
Duluth HS,18,1,4,23
Duluth MS,10,0,11,21
Duncan Creek ES,10,0,0,10
Dyer ES,21,0,9,30
Ferguson ES,34,2,1,37
Five Forks MS,35,3,0,38
Fort Daniel ES,36,0,1,37
Freeman's Mill ES,5,0,0,5
GIVE East,13,1,1,15
GIVE West,1,0,0,1
Grace Snell MS,3,0,2,5
Graves ES,3,0,5,8
Grayson ES,16,0,0,16
Grayson HS,49,10,1,60
Gwin Oaks ES,8,0,0,8
Gwinnett Online Campus,4,0,0,4
"Gwinnett School of Mathematics, Science, and Technology",1,0,0,1
Harbins ES,25,0,1,26
Harmony ES,1,0,2,3
Harris ES,22,3,0,25
Head ES,2,0,0,2
Hopkins ES,8,0,0,8
Hull MS,3,0,0,3
International Transition Center,0,0,1,1
Ivy Creek ES,9,0,2,11
Jackson ES,1,0,0,1
Jenkins ES,3,0,0,3
Jones MS,23,0,0,23
Jordan MS,0,0,1,1
Kanoheda ES,19,0,0,19
Knight ES,25,1,9,35
Lanier HS,121,3,4,128
Lanier MS,19,2,4,25
Lawrenceville ES,10,2,0,12
Level Creek ES,4,0,0,4
Lilburn ES,13,0,1,14
Lilburn MS,4,1,2,7
Lovin ES,37,0,2,39
Magill ES,28,0,0,28
Mason ES,3,0,0,3
Maxwell HS of Technology,15,1,1,17
McClure Health Science HS,5,0,4,9
McConnell MS,26,2,0,28
McKendree ES,62,3,0,65
Meadowcreek ES,3,0,0,3
Meadowcreek HS,23,0,10,33
Mill Creek HS,93,4,1,98
Minor ES,42,1,3,46
Moore MS,0,0,0,0
Mountain Park ES,3,0,0,3
Mountain View HS,80,2,4,86
Mulberry ES,9,1,2,12
Nesbit ES,9,2,0,11
Norcross ES,8,0,3,11
Norcross HS,31,3,2,36
North Gwinnett HS,24,0,1,25
North Gwinnett MS,64,2,1,67
Northbrook MS,7,2,2,11
Norton ES,6,0,0,6
Oakland Meadow School,3,0,0,3
Osborne MS,47,0,3,50
Parkview HS,47,2,6,55
Parsons ES,0,1,0,1
Partee ES,2,0,0,2
Patrick ES,3,1,0,4
Paul Duke STEM HS,1,0,1,2
Peachtree ES,34,1,6,41
Peachtree Ridge HS,9,1,3,13
Pharr ES,6,0,1,7
Phoenix HS,1,0,0,1
Pinckneyville MS,17,0,3,20
Puckett's Mill ES,27,0,3,30
Radloff MS,10,1,0,11
Richards MS,34,2,6,42
Riverside ES,31,1,2,34
Roberts ES,1,1,0,2
Rock Springs ES,0,0,0,0
Rockbridge ES,19,2,1,22
Rosebud ES,8,2,0,10
Shiloh ES,3,1,0,4
Shiloh HS,1,1,0,2
Shiloh MS,39,2,3,44
Simonton ES,2,0,1,3
Simpson ES,20,2,0,22
Snellville MS,26,1,2,29
South Gwinnett HS,11,2,3,16
Starling ES,3,0,0,3
Stripling ES,3,0,1,4
Sugar Hill ES,34,0,5,39
Summerour MS,1,0,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,8,0,1,9
Sycamore ES,19,1,0,20
Taylor ES,9,2,0,11
Trickum MS,22,1,0,23
Trip ES,27,0,0,27
Twin Rivers MS,69,3,0,72
Walnut Grove ES,11,1,1,13
White Oak ES,51,0,3,54
Winn Holt ES,16,0,2,18
Woodward Mill ES,2,0,0,2
