School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,4,0,0,4
Alford ES,3,0,2,5
Anderson-Livsey ES,0,1,0,1
Annistown ES,4,1,0,5
Arcado ES,22,1,1,24
Archer HS,20,4,3,27
Baggett ES,33,0,7,40
Baldwin ES,0,0,0,0
Bay Creek MS,7,1,4,12
Beaver Ridge ES,1,0,0,1
Benefield ES,4,0,1,5
Berkeley Lake ES,1,2,0,3
Berkmar HS,2,1,0,3
Berkmar MS,0,0,3,3
Bethesda ES,7,1,0,8
Britt ES,5,0,1,6
Brookwood ES,3,0,0,3
Brookwood HS,21,6,1,28
Buice Center,10,7,6,23
Burnette ES,8,0,8,16
Camp Creek ES,14,0,1,15
Cedar Hill ES,15,0,2,17
Centerville ES,0,1,0,1
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,2,0,0,2
Chesney ES,17,1,0,18
Coleman MS,1,0,0,1
Collins Hill HS,7,2,3,12
Cooper ES,27,3,4,34
Corley ES,3,0,0,3
Couch MS,1,2,0,3
Craig ES,2,0,0,2
Creekland MS,5,3,1,9
Crews MS,8,0,0,8
Dacula ES,2,0,4,6
Dacula HS,6,2,0,8
Dacula MS,29,3,0,32
Discovery HS,17,5,0,22
Duluth HS,1,3,0,4
Duluth MS,9,3,6,18
Duncan Creek ES,23,1,0,24
Dyer ES,13,1,3,17
Ferguson ES,14,0,2,16
Five Forks MS,23,3,0,26
Fort Daniel ES,3,0,1,4
Freeman's Mill ES,10,1,2,13
GIVE East,0,0,0,0
GIVE West,1,1,0,2
Grace Snell MS,4,1,0,5
Graves ES,0,1,0,1
Grayson ES,6,1,2,9
Grayson HS,8,4,0,12
Gwin Oaks ES,4,1,0,5
Gwinnett Online Campus,1,1,0,2
"Gwinnett School of Mathematics, Science, and Technology",2,1,0,3
Harbins ES,15,3,0,18
Harmony ES,3,0,0,3
Harris ES,8,1,2,11
Head ES,0,0,0,0
Hopkins ES,23,1,2,26
Hull MS,4,3,0,7
International Transition Center,5,0,1,6
Ivy Creek ES,14,1,0,15
Jackson ES,16,3,0,19
Jenkins ES,16,4,0,20
Jones MS,4,0,0,4
Jordan MS,8,1,0,9
Kanoheda ES,0,0,0,0
Knight ES,4,1,1,6
Lanier HS,18,0,9,27
Lanier MS,7,1,2,10
Lawrenceville ES,3,1,0,4
Level Creek ES,2,0,0,2
Lilburn ES,0,0,0,0
Lilburn MS,2,0,3,5
Lovin ES,1,1,0,2
Magill ES,6,0,1,7
Mason ES,1,3,5,9
Maxwell,0,0,0,0
McClure Health Science HS,4,0,3,7
McConnell MS,17,4,0,21
McKendree ES,5,0,0,5
Meadowcreek ES,2,2,0,4
Meadowcreek HS,13,3,7,23
Mill Creek HS,65,5,1,71
Minor ES,5,1,2,8
Moore MS,2,0,1,3
Mountain Park ES,1,0,0,1
Mountain View HS,23,3,0,26
Mulberry ES,4,0,0,4
Nesbit ES,2,0,0,2
Norcross ES,1,0,0,1
Norcross HS,39,3,4,46
North Gwinnett HS,9,2,2,13
North Gwinnett MS,26,2,0,28
Northbrook MS,3,0,0,3
Norton ES,0,0,0,0
Oakland Meadow School,3,0,2,5
Osborne MS,47,2,1,50
Parkview HS,8,3,8,19
Parsons ES,1,1,0,2
Partee ES,1,0,0,1
Patrick ES,16,1,1,18
Paul Duke STEM HS,0,0,0,0
Peachtree ES,12,0,4,16
Peachtree Ridge HS,3,4,2,9
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,1,2,3,6
Puckett's Mill ES,9,1,3,13
Radloff MS,1,0,0,1
Richards MS,12,3,8,23
Riverside ES,6,1,0,7
Roberts ES,0,0,0,0
Rock Springs ES,2,0,0,2
Rockbridge ES,17,0,2,19
Rosebud ES,15,0,2,17
Shiloh ES,11,1,0,12
Shiloh HS,1,1,0,2
Shiloh MS,12,1,2,15
Simonton ES,5,0,1,6
Simpson ES,0,1,0,1
Snellville MS,2,0,2,4
South Gwinnett HS,8,0,1,9
Starling ES,1,0,2,3
Stripling ES,0,0,1,1
Sugar Hill ES,13,0,2,15
Summerour MS,4,1,0,5
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,5,0,0,5
Taylor ES,26,0,0,26
Trickum MS,10,4,0,14
Trip ES,10,1,1,12
Twin Rivers MS,5,2,0,7
Walnut Grove ES,0,0,0,0
White Oak ES,14,1,1,16
Winn Holt ES,11,0,1,12
