School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,8,1,3,12
Alford ES,0,0,2,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,1,0,0,1
Arcado ES,25,0,2,27
Archer HS,17,1,1,19
Baggett ES,0,0,0,0
Baldwin ES,2,0,0,2
Bay Creek MS,1,0,0,1
Beaver Ridge ES,3,0,0,3
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,1,0,1,2
Berkmar MS,1,0,0,1
Bethesda ES,35,0,2,37
Britt ES,18,0,3,21
Brookwood ES,5,1,1,7
Brookwood HS,4,0,0,4
Buice Center,7,0,1,8
Burnette ES,3,0,2,5
Camp Creek ES,2,0,1,3
Cedar Hill ES,0,0,0,0
Centerville ES,7,0,0,7
Central Gwinnett HS,12,0,1,13
Chattahoochee ES,27,0,3,30
Chesney ES,6,0,2,8
Coleman MS,2,0,0,2
Collins Hill HS,1,0,0,1
Cooper ES,11,0,2,13
Corley ES,3,0,2,5
Couch MS,4,0,0,4
Craig ES,1,0,1,2
Creekland MS,2,0,2,4
Crews MS,3,0,0,3
Dacula ES,16,1,1,18
Dacula HS,2,0,6,8
Dacula MS,4,1,0,5
Discovery HS,2,0,0,2
Duluth HS,8,0,5,13
Duluth MS,4,0,5,9
Duncan Creek ES,12,0,2,14
Dyer ES,7,0,3,10
Ferguson ES,17,0,1,18
Five Forks MS,1,0,0,1
Fort Daniel ES,1,0,0,1
Freeman's Mill ES,11,0,3,14
GIVE East,2,0,0,2
GIVE West,0,0,1,1
Grace Snell MS,1,0,2,3
Graves ES,0,0,2,2
Grayson ES,6,0,1,7
Grayson HS,18,0,0,18
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,7,0,6,13
Harmony ES,4,1,1,6
Harris ES,9,0,2,11
Head ES,0,0,0,0
Hopkins ES,2,0,2,4
Hull MS,0,0,1,1
International Transition Center,0,0,0,0
Ivy Creek ES,2,0,2,4
Jackson ES,9,0,1,10
Jenkins ES,4,0,0,4
Jones MS,3,0,0,3
Jordan MS,14,0,3,17
Kanoheda ES,2,0,0,2
Knight ES,7,0,2,9
Lanier HS,7,0,2,9
Lanier MS,0,0,1,1
Lawrenceville ES,0,0,0,0
Level Creek ES,8,3,0,11
Lilburn ES,0,0,1,1
Lilburn MS,1,0,1,2
Lovin ES,4,0,0,4
Magill ES,4,0,0,4
Mason ES,5,0,1,6
Maxwell HS of Technology,1,0,0,1
McClure Health Science HS,2,0,0,2
McConnell MS,9,0,1,10
McKendree ES,1,0,3,4
Meadowcreek ES,0,0,0,0
Meadowcreek HS,21,0,6,27
Mill Creek HS,76,0,1,77
Minor ES,4,0,0,4
Moore MS,0,0,0,0
Mountain Park ES,1,1,0,2
Mountain View HS,31,2,5,38
Mulberry ES,0,0,0,0
Nesbit ES,0,0,2,2
Norcross ES,18,0,15,33
Norcross HS,9,0,1,10
North Gwinnett HS,73,4,0,77
North Gwinnett MS,10,0,1,11
Northbrook MS,1,0,0,1
Norton ES,17,1,0,18
Oakland Meadow School,0,0,1,1
Osborne MS,73,1,0,74
Parkview HS,8,0,4,12
Parsons ES,0,0,0,0
Partee ES,0,0,0,0
Patrick ES,0,0,0,0
Paul Duke STEM HS,1,0,1,2
Peachtree ES,8,0,7,15
Peachtree Ridge HS,10,0,7,17
Pharr ES,1,0,0,1
Phoenix HS,0,1,0,1
Pinckneyville MS,1,1,3,5
Puckett's Mill ES,3,0,0,3
Radloff MS,3,0,1,4
Richards MS,6,0,2,8
Riverside ES,2,0,2,4
Roberts ES,5,0,0,5
Rock Springs ES,1,0,0,1
Rockbridge ES,4,0,2,6
Rosebud ES,2,0,0,2
Shiloh ES,5,0,0,5
Shiloh HS,2,0,1,3
Shiloh MS,0,0,0,0
Simonton ES,1,0,0,1
Simpson ES,3,0,0,3
Snellville MS,1,1,0,2
South Gwinnett HS,2,0,0,2
Starling ES,1,0,2,3
Stripling ES,0,0,1,1
Sugar Hill ES,4,0,1,5
Summerour MS,2,0,0,2
Suwanee ES,1,0,0,1
Sweetwater MS,0,0,2,2
Sycamore ES,1,0,0,1
Taylor ES,0,0,0,0
Trickum MS,9,0,1,10
Trip ES,2,0,0,2
Twin Rivers MS,31,1,1,33
Walnut Grove ES,0,0,0,0
White Oak ES,1,0,0,1
Winn Holt ES,0,0,1,1
Woodward Mill ES,0,0,1,1
