School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,7,0,0,7
Alford ES,2,0,0,2
Anderson-Livsey ES,1,0,0,1
Annistown ES,3,1,0,4
Arcado ES,65,3,2,70
Archer HS,65,2,9,76
Baggett ES,6,1,0,7
Baldwin ES,0,0,1,1
Bay Creek MS,4,1,3,8
Beaver Ridge ES,1,0,1,2
Benefield ES,2,1,0,3
Berkeley Lake ES,4,3,0,7
Berkmar HS,9,3,3,15
Berkmar MS,2,1,0,3
Bethesda ES,7,2,1,10
Britt ES,2,2,0,4
Brookwood ES,7,0,0,7
Brookwood HS,26,4,0,30
Buice Center,12,0,0,12
Burnette ES,3,0,0,3
Camp Creek ES,26,1,1,28
Cedar Hill ES,3,2,2,7
Centerville ES,7,0,0,7
Central Gwinnett HS,12,0,1,13
Chattahoochee ES,15,1,0,16
Chesney ES,6,0,2,8
Coleman MS,0,0,0,0
Collins Hill HS,8,4,1,13
Cooper ES,27,0,1,28
Corley ES,0,1,0,1
Couch MS,6,3,0,9
Craig ES,7,1,2,10
Creekland MS,17,2,0,19
Crews MS,11,0,0,11
Dacula ES,5,0,2,7
Dacula HS,14,0,9,23
Dacula MS,19,3,0,22
Discovery HS,4,3,0,7
Duluth HS,72,7,6,85
Duluth MS,17,1,8,26
Duncan Creek ES,21,1,0,22
Dyer ES,24,2,3,29
Ferguson ES,17,2,2,21
Five Forks MS,5,0,3,8
Fort Daniel ES,4,0,0,4
Freeman's Mill ES,10,0,1,11
GIVE East,0,0,0,0
GIVE West,3,0,0,3
Grace Snell MS,0,0,0,0
Graves ES,11,2,0,13
Grayson ES,6,0,0,6
Grayson HS,11,2,0,13
Gwin Oaks ES,3,0,0,3
Gwinnett Online Campus,1,0,0,1
"Gwinnett School of Mathematics, Science, and Technology",3,0,0,3
Harbins ES,44,0,4,48
Harmony ES,3,0,1,4
Harris ES,8,0,0,8
Head ES,10,1,0,11
Hopkins ES,7,0,2,9
Hull MS,3,3,0,6
International Transition Center,0,1,0,1
Ivy Creek ES,12,2,2,16
Jackson ES,9,1,0,10
Jenkins ES,22,2,0,24
Jones MS,7,0,0,7
Jordan MS,4,0,2,6
Kanoheda ES,1,0,0,1
Knight ES,5,1,3,9
Lanier HS,23,4,7,34
Lanier MS,5,1,1,7
Lawrenceville ES,4,0,0,4
Level Creek ES,13,0,0,13
Lilburn ES,7,1,2,10
Lilburn MS,2,0,0,2
Lovin ES,16,0,0,16
Magill ES,3,0,0,3
Mason ES,1,1,1,3
Maxwell HS of Technology,0,1,0,1
McClure Health Science HS,4,0,3,7
McConnell MS,11,2,0,13
McKendree ES,9,1,0,10
Meadowcreek ES,0,0,0,0
Meadowcreek HS,24,0,8,32
Mill Creek HS,94,8,0,102
Minor ES,3,0,1,4
Moore MS,0,1,1,2
Mountain Park ES,6,0,0,6
Mountain View HS,31,2,5,38
Mulberry ES,8,1,0,9
Nesbit ES,1,0,0,1
Norcross ES,16,0,0,16
Norcross HS,26,3,1,30
North Gwinnett HS,21,4,6,31
North Gwinnett MS,28,1,3,32
Northbrook MS,2,1,1,4
Norton ES,9,0,1,10
Oakland Meadow School,2,1,0,3
Osborne MS,20,2,1,23
Parkview HS,12,1,0,13
Parsons ES,3,0,0,3
Partee ES,0,1,0,1
Patrick ES,8,0,1,9
Paul Duke STEM HS,0,1,1,2
Peachtree ES,2,1,2,5
Peachtree Ridge HS,19,3,1,23
Pharr ES,7,1,0,8
Phoenix HS,1,1,0,2
Pinckneyville MS,2,2,1,5
Puckett's Mill ES,18,1,1,20
Radloff MS,6,0,2,8
Richards MS,9,2,1,12
Riverside ES,14,1,0,15
Roberts ES,2,1,0,3
Rock Springs ES,2,0,1,3
Rockbridge ES,2,1,2,5
Rosebud ES,2,2,0,4
Shiloh ES,3,0,0,3
Shiloh HS,3,4,0,7
Shiloh MS,24,2,0,26
Simonton ES,6,0,0,6
Simpson ES,25,3,0,28
Snellville MS,46,3,0,49
South Gwinnett HS,20,1,3,24
Starling ES,11,0,0,11
Stripling ES,0,1,0,1
Sugar Hill ES,9,0,1,10
Summerour MS,3,2,0,5
Suwanee ES,4,0,1,5
Sweetwater MS,4,1,0,5
Sycamore ES,6,0,0,6
Taylor ES,16,1,0,17
Trickum MS,8,0,0,8
Trip ES,6,0,1,7
Twin Rivers MS,2,1,0,3
Walnut Grove ES,16,2,0,18
White Oak ES,17,0,4,21
Winn Holt ES,11,1,3,15
Woodward Mill ES,3,1,0,4
