School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,28,2,4,34
Alford ES,29,0,1,30
Anderson-Livsey ES,0,0,0,0
Annistown ES,3,0,0,3
Arcado ES,1,0,0,1
Archer HS,23,0,3,26
Baggett ES,8,0,1,9
Baldwin ES,1,0,0,1
Bay Creek MS,3,0,0,3
Beaver Ridge ES,2,0,0,2
Benefield ES,2,0,1,3
Berkeley Lake ES,0,0,0,0
Berkmar HS,11,0,1,12
Berkmar MS,11,1,0,12
Bethesda ES,2,0,0,2
Britt ES,0,0,0,0
Brookwood ES,1,1,0,2
Brookwood HS,34,6,0,40
Buice Center,3,1,0,4
Burnette ES,1,0,2,3
Camp Creek ES,12,1,0,13
Cedar Hill ES,10,0,1,11
Centerville ES,1,0,1,2
Central Gwinnett HS,12,2,0,14
Chattahoochee ES,12,0,4,16
Chesney ES,6,2,0,8
Coleman MS,2,0,0,2
Collins Hill HS,19,2,0,21
Cooper ES,8,1,0,9
Corley ES,1,0,0,1
Couch MS,1,1,0,2
Craig ES,1,0,0,1
Creekland MS,4,0,0,4
Crews MS,0,0,0,0
Dacula ES,3,0,4,7
Dacula HS,30,3,4,37
Dacula MS,25,1,0,26
Discovery HS,2,0,1,3
Duluth HS,6,1,3,10
Duluth MS,10,1,3,14
Duncan Creek ES,14,0,0,14
Dyer ES,5,0,0,5
Ferguson ES,2,0,0,2
Five Forks MS,5,2,0,7
Fort Daniel ES,1,0,0,1
Freeman's Mill ES,6,1,0,7
GIVE East,0,0,1,1
GIVE West,0,0,0,0
Grace Snell MS,6,1,0,7
Graves ES,2,0,0,2
Grayson ES,0,0,0,0
Grayson HS,5,0,0,5
Gwin Oaks ES,2,0,1,3
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,0,0,0,0
Harmony ES,5,0,0,5
Harris ES,7,1,1,9
Head ES,0,0,0,0
Hopkins ES,5,0,1,6
Hull MS,0,0,1,1
International Transition Center,1,0,0,1
Ivy Creek ES,2,0,1,3
Jackson ES,1,1,0,2
Jenkins ES,3,0,0,3
Jones MS,4,0,0,4
Jordan MS,0,0,1,1
Kanoheda ES,4,0,0,4
Knight ES,27,0,8,35
Lanier HS,42,2,1,45
Lanier MS,13,1,0,14
Lawrenceville ES,0,1,0,1
Level Creek ES,3,0,0,3
Lilburn ES,4,0,1,5
Lilburn MS,0,1,0,1
Lovin ES,1,0,0,1
Magill ES,11,1,1,13
Mason ES,0,0,0,0
Maxwell HS of Technology,2,0,1,3
McClure Health Science HS,1,0,0,1
McConnell MS,7,0,1,8
McKendree ES,8,0,0,8
Meadowcreek ES,1,0,1,2
Meadowcreek HS,5,0,3,8
Mill Creek HS,36,3,0,39
Minor ES,3,0,1,4
Moore MS,3,0,0,3
Mountain Park ES,0,0,0,0
Mountain View HS,39,1,2,42
Mulberry ES,0,0,0,0
Nesbit ES,0,1,1,2
Norcross ES,0,0,0,0
Norcross HS,6,0,0,6
North Gwinnett HS,13,2,2,17
North Gwinnett MS,15,0,1,16
Northbrook MS,8,0,1,9
Norton ES,5,0,0,5
Oakland Meadow School,0,0,2,2
Osborne MS,32,3,0,35
Parkview HS,6,3,1,10
Parsons ES,0,0,0,0
Partee ES,0,0,0,0
Patrick ES,1,1,0,2
Paul Duke STEM HS,0,0,1,1
Peachtree ES,30,1,7,38
Peachtree Ridge HS,4,2,2,8
Pharr ES,0,0,0,0
Phoenix HS,2,0,0,2
Pinckneyville MS,0,0,3,3
Puckett's Mill ES,5,1,0,6
Radloff MS,1,0,0,1
Richards MS,36,1,9,46
Riverside ES,5,0,0,5
Roberts ES,1,1,0,2
Rock Springs ES,0,0,0,0
Rockbridge ES,0,0,0,0
Rosebud ES,0,0,0,0
Shiloh ES,3,0,2,5
Shiloh HS,2,0,0,2
Shiloh MS,0,0,0,0
Simonton ES,1,0,0,1
Simpson ES,11,1,0,12
Snellville MS,0,0,0,0
South Gwinnett HS,9,0,2,11
Starling ES,2,1,0,3
Stripling ES,0,0,1,1
Sugar Hill ES,17,1,0,18
Summerour MS,4,0,0,4
Suwanee ES,0,0,0,0
Sweetwater MS,8,0,0,8
Sycamore ES,8,0,0,8
Taylor ES,0,0,0,0
Trickum MS,9,2,0,11
Trip ES,0,0,0,0
Twin Rivers MS,24,4,0,28
Walnut Grove ES,3,0,1,4
White Oak ES,28,1,0,29
Winn Holt ES,1,0,0,1
Woodward Mill ES,6,0,3,9
