School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,5,0,0,5
Alford ES,1,0,0,1
Arcado ES,0,1,0,1
Archer HS,25,0,2,27
Baggett ES,15,1,2,18
Baldwin ES,1,0,0,1
Bay Creek MS,3,0,0,3
Beaver Ridge ES,1,0,0,1
Benefield ES,9,1,0,10
Berkeley Lake ES,1,0,0,1
Berkmar HS,2,1,1,4
Berkmar MS,0,0,1,1
Britt ES,0,0,3,3
Brookwood ES,2,0,0,2
Brookwood HS,29,4,0,33
Burnette ES,2,0,2,4
Camp Creek ES,11,1,0,12
Cedar Hill ES,5,0,1,6
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,45,3,0,48
Chesney ES,44,3,0,47
Coleman MS,1,0,0,1
Collins Hill HS,2,0,0,2
Cooper ES,3,0,0,3
Corley ES,1,1,0,2
Couch MS,3,0,0,3
Creekland MS,3,0,0,3
Crews MS,7,0,0,7
Dacula ES,21,0,3,24
Dacula HS,0,1,0,1
Dacula MS,5,2,1,8
Discovery HS,1,1,0,2
Duluth HS,0,1,0,1
Duluth MS,1,0,1,2
Duncan Creek ES,4,0,0,4
Dyer ES,8,1,0,9
Ferguson ES,11,0,0,11
Five Forks MS,4,0,0,4
Grace Snell MS,1,0,2,3
Grayson HS,0,0,1,1
Gwinnett Online Campus,6,1,0,7
"Gwinnett School of Mathematics, Science, and Technology",1,0,0,1
Harbins ES,1,0,0,1
Harris ES,16,2,2,20
Head ES,15,0,0,15
Hull MS,2,0,1,3
International Transition Center,1,0,0,1
Jackson ES,0,2,0,2
Jenkins ES,3,0,0,3
Jordan MS,3,0,0,3
Knight ES,5,1,1,7
Lanier MS,3,0,2,5
Lilburn MS,1,0,0,1
Lovin ES,1,0,0,1
Magill ES,17,3,1,21
Maxwell,0,1,0,1
McClure Health Science HS,0,0,1,1
McConnell MS,1,0,0,1
McKendree ES,0,1,0,1
Meadowcreek ES,2,1,0,3
Meadowcreek HS,1,0,0,1
Mill Creek HS,1,0,0,1
Mountain View HS,28,2,1,31
Mulberry ES,3,0,1,4
Norcross ES,22,2,0,24
Norcross HS,8,0,2,10
North Gwinnett HS,1,0,0,1
Northbrook MS,1,0,0,1
Norton ES,1,0,0,1
Osborne MS,29,1,0,30
Parkview HS,4,2,1,7
Partee ES,1,0,0,1
Peachtree ES,12,0,3,15
Peachtree Ridge HS,1,1,0,2
Pinckneyville MS,0,0,1,1
Puckett's Mill ES,1,0,0,1
Radloff MS,20,1,0,21
Richards MS,10,0,1,11
Riverside ES,1,0,0,1
Rock Springs ES,2,0,0,2
Rockbridge ES,22,0,0,22
Rosebud ES,2,1,1,4
Shiloh ES,1,0,0,1
Shiloh MS,4,0,2,6
Simonton ES,15,0,1,16
Snellville MS,1,0,0,1
South Gwinnett HS,1,0,0,1
Sugar Hill ES,4,0,1,5
Summerour MS,1,2,0,3
Sycamore ES,3,0,1,4
Taylor ES,13,1,0,14
Trickum MS,1,0,0,1
Twin Rivers MS,9,0,1,10
White Oak ES,0,0,1,1
Winn Holt ES,13,0,1,14
