School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,0,0,2
Archer HS,1,0,0,1
Berkmar MS,10,0,3,13
Camp Creek ES,22,1,0,23
Cedar Hill ES,2,0,0,2
Central Gwinnett HS,3,1,0,4
Dacula MS,1,0,0,1
Duncan Creek ES,1,0,0,1
Graves ES,6,0,1,7
Grayson ES,4,0,0,4
Hopkins ES,9,0,1,10
Hull MS,2,0,0,2
Level Creek ES,10,0,0,10
Mason ES,2,0,0,2
McConnell MS,1,0,0,1
Meadowcreek HS,1,0,0,1
Mill Creek HS,1,0,0,1
Minor ES,1,0,0,1
Moore MS,6,1,0,7
Mountain View HS,10,1,0,11
North Gwinnett HS,5,1,1,7
North Gwinnett MS,13,1,0,14
Osborne MS,11,1,0,12
Paul Duke STEM HS,3,1,0,4
Roberts ES,4,1,0,5
Simpson ES,12,1,0,13
Summerour MS,1,0,0,1
Winn Holt ES,1,0,0,1
